Node, BMPs
15,29
18,6
19,88
21,29
22,29
23,29
24,37
25,37
26,29
27,29
28,29
29,29
30,29
31,29
32,29
33,29
34,29
35,29
36,29
37,29
39,29
40,29
41,29
42,29
43,29
44,29
45,29
46,29
47,29
48,29
49,29
51,29
54,29
55,29
56,29
57,29
58,29
59,29
60,57
61,57
62,29
63,29
64,37
66,29
67,29
68,38
69,29
70,38
71,29
72,29
73,29
74,29
75,29
76,29
77,29
78,29
79,29
80,38
81,29
82,29
83,29
84,29
85,29
86,29
87,29
88,29
89,29
90,29
91,29
92,29
93,29
94,29
95,29
96,29
97,29
98,29
99,29
100,29
102,29
103,37
104,29
105,29
106,29
107,29
108,29
109,29
110,29
111,29
112,6
113,29
114,6
115,6
117,6
118,6
119,6
120,29
121,29
122,29
123,29
125,92
126,92
127,29
128,92
129,92
130,6
131,29
132,37
133,29
134,6
135,29
136,29
137,37
138,6
140,29
141,6
143,29
144,29
145,29
148,37
149,37
150,37
151,29
152,29
154,29
156,92
158,6
159,29
160,29
163,37
166,92
167,29
168,29
169,29
171,29
172,6
173,6
174,6
175,29
176,29
179,29
180,43
181,29
182,29
183,29
184,29
186,29
187,6
188,29
189,29
190,37
191,29
193,29
196,29
199,29
200,29
202,29
204,29
205,29
208,29
209,37
210,29
211,29
212,29
213,29
214,43
215,29
216,29
217,29
219,29
221,38
222,37
225,38
